user_id,search_keyword,search_result_count,created_at
8739604,teknik perencanaan penanggulangan bencana,1,2021-03-15 00:00:00 UTC
10431969,Banana fish,1,2021-03-15 00:00:00 UTC
9229966,betty,1,2021-03-15 00:00:00 UTC
848337,kempo,1,2021-03-15 00:00:00 UTC
9229966,hirata,1,2021-03-15 00:00:00 UTC
368500,Multatuli,1,2021-03-15 00:00:00 UTC
14558028,The power of hab it,1,2021-03-15 00:00:00 UTC
9183504,gamechangers,1,2021-03-15 00:00:00 UTC
7941142,DANIEL SILVA: OTHER WOMAN (SC),1,2021-03-15 00:00:00 UTC
12418585,syamsuddin,1,2021-03-15 00:00:00 UTC
10606312,komuni,1,2021-03-15 00:00:00 UTC
10827213,rapijali,1,2021-03-15 00:00:00 UTC
7814465,antares,1,2021-03-15 00:00:00 UTC
12163599,Hai miiko,1,2021-03-15 00:00:00 UTC
12418585,wangsit,1,2021-03-15 00:00:00 UTC
13090609,stone,1,2021-03-15 00:00:00 UTC
7506568,seri ensiklomini anak fantasi\,1,2021-03-15 00:00:00 UTC
9232812,artbook,1,2021-03-15 00:00:00 UTC
9232812,ARTBOOK,1,2021-03-15 00:00:00 UTC
6621042,asahinagu,1,2021-03-15 00:00:00 UTC
8739604,rapijali,1,2021-03-15 00:00:00 UTC
584103,HUKUM ACARA PERDATA',1,2021-03-15 00:00:00 UTC
9229966,andrea,1,2021-03-15 00:00:00 UTC
7805822,Think and grow,1,2021-03-15 00:00:00 UTC
10971619,kartun kima,2,2021-03-15 00:00:00 UTC
7941142,fatdha devi,2,2021-03-15 00:00:00 UTC
8739604,PLC,2,2021-03-15 00:00:00 UTC
860995,Predictably Irrational,2,2021-03-15 00:00:00 UTC
9166967,chess,2,2021-03-15 00:00:00 UTC
7506568,Gyo,2,2021-03-15 00:00:00 UTC
1098677,andrea hirata,2,2021-03-15 00:00:00 UTC
8739604,jujutsu kaisen,2,2021-03-15 00:00:00 UTC
7943483,wingit,2,2021-03-15 00:00:00 UTC
9232812,maman suherman,2,2021-03-15 00:00:00 UTC
8343213,dinosaur excavation,2,2021-03-15 00:00:00 UTC
8225993,Taiko,2,2021-03-15 00:00:00 UTC
14559679,suzuki,2,2021-03-15 00:00:00 UTC
14320541,munakahat,2,2021-03-15 00:00:00 UTC
7506568,indomaret,2,2021-03-15 00:00:00 UTC
12436794,Detektif Conan 97,2,2021-03-15 00:00:00 UTC
9229966,khilma anis,2,2021-03-15 00:00:00 UTC
7941312,FATHUL MU'IN,3,2021-03-15 00:00:00 UTC
10425000,arifin c. mur,3,2021-03-15 00:00:00 UTC
10827213,sintaksis,3,2021-03-15 00:00:00 UTC
56577,sampel,3,2021-03-15 00:00:00 UTC
6978222,Cosmos,3,2021-03-15 00:00:00 UTC
9232812,"maman suherm,an\",3,2021-03-15 00:00:00 UTC
7734837,jibaku shounen,3,2021-03-15 00:00:00 UTC
225929,keigo higashino,3,2021-03-15 00:00:00 UTC
8739604,cosmos,3,2021-03-15 00:00:00 UTC
7943483,jujutsu,4,2021-03-15 00:00:00 UTC
7941312,FATHUL MUIN,4,2021-03-15 00:00:00 UTC
14559679,nissan,4,2021-03-15 00:00:00 UTC
14559901,jujutsu,4,2021-03-15 00:00:00 UTC
8276105,Prenatal,4,2021-03-15 00:00:00 UTC
7941312,distilasi alkena,4,2021-03-15 00:00:00 UTC
8739604,ziee angle,4,2021-03-15 00:00:00 UTC
12217258,Marcus Tullius Cicero,4,2021-03-15 00:00:00 UTC
8337865,circe,4,2021-03-15 00:00:00 UTC
7506568,philip kotler ,4,2021-03-15 00:00:00 UTC
9190218,kanojo,4,2021-03-15 00:00:00 UTC
8343213,dino,4,2021-03-15 00:00:00 UTC
7506568,Haikyu,4,2021-03-15 00:00:00 UTC
590082,hermawan,4,2021-03-15 00:00:00 UTC
8176114,lukman a.sya,4,2021-03-15 00:00:00 UTC
14559945,karin,4,2021-03-15 00:00:00 UTC
8176114,barbie video game hero,260,2021-03-15 00:00:00 UTC
1416843,terjemah dan syarat al-hikmah,260,2021-03-15 00:00:00 UTC
8460651,struktur perkembangan tumbuhan,260,2021-03-15 00:00:00 UTC
7702592,CONFIDENCE,5,2021-03-15 00:00:00 UTC
7898867,n5,5,2021-03-15 00:00:00 UTC
10606312,SEMANTIK,5,2021-03-15 00:00:00 UTC
7941330,panembahan senopati,5,2021-03-15 00:00:00 UTC
7730507,singgih santoso,5,2021-03-15 00:00:00 UTC
7702592,JAKOB SUMARDJO,5,2021-03-15 00:00:00 UTC
14559760,bobo,5,2021-03-15 00:00:00 UTC
524339,ANAK2 TOTTO-CHAN (CU),6,2021-03-15 00:00:00 UTC
10902241,grateful,6,2021-03-15 00:00:00 UTC
10902241,gre,6,2021-03-15 00:00:00 UTC
14559666,angle beats,6,2021-03-15 00:00:00 UTC
9176725,berkebutuhan khusus,6,2021-03-15 00:00:00 UTC
10909578,Kaleidoscope,6,2021-03-15 00:00:00 UTC
14559704,Filosopi teras,6,2021-03-15 00:00:00 UTC
14559730,Kaguya,6,2021-03-15 00:00:00 UTC
8454820,Tinta printer,6,2021-03-15 00:00:00 UTC
13511670,lp3es,6,2021-03-15 00:00:00 UTC
9167194,felix siauw,6,2021-03-15 00:00:00 UTC
14559837,Amba,6,2021-03-15 00:00:00 UTC
8750474,pulsa,6,2021-03-15 00:00:00 UTC
1416843,charles mills,6,2021-03-15 00:00:00 UTC
14559840,lexie xu,6,2021-03-15 00:00:00 UTC
14559733,1/2 engaged,6,2021-03-15 00:00:00 UTC
6367926,Suzanne collins,7,2021-03-15 00:00:00 UTC
807513,ruminansia,7,2021-03-15 00:00:00 UTC
10902241,ahmad fuadi,7,2021-03-15 00:00:00 UTC
12095615,Scott merrillees,8,2021-03-15 00:00:00 UTC
1416843,wright mills,8,2021-03-15 00:00:00 UTC
848337,kosa,8,2021-03-15 00:00:00 UTC
7941312,"FATHUL MU""IN",8,2021-03-15 00:00:00 UTC
524339,eleanor opliphant,8,2021-03-15 00:00:00 UTC
8176114,suki desu suzuki-kun,8,2021-03-15 00:00:00 UTC
9176334,lucy crehan,8,2021-03-15 00:00:00 UTC
7621385,Maza yani,8,2021-03-15 00:00:00 UTC
14559842,benjamin,8,2021-03-15 00:00:00 UTC
14558053,R,8,2021-03-15 00:00:00 UTC
129922,didiet maulana,8,2021-03-15 00:00:00 UTC
7702592,HAII MIKO,8,2021-03-15 00:00:00 UTC
14559951,karawang,8,2021-03-15 00:00:00 UTC
14559739,mahfud md,8,2021-03-15 00:00:00 UTC
337632,aristoteles,8,2021-03-15 00:00:00 UTC
8170794,AKUNTANSI MANAJERIAL 1,520,2021-03-15 00:00:00 UTC
1416843,kungfu boy 24,9,2021-03-15 00:00:00 UTC
